GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jpacman-framework,nl.tudelft.jpacman.game,GameFactory,3,14,0,0,1,4,1,2,1,2
jpacman-framework,nl.tudelft.jpacman.game,Game,3,80,0,10,2,26,1,11,1,6
jpacman-framework,nl.tudelft.jpacman.game,SinglePlayerGame,8,27,2,2,0,10,2,4,0,4
jpacman-framework,nl.tudelft.jpacman.npc,Ghost,0,87,0,6,0,17,0,8,0,5
jpacman-framework,nl.tudelft.jpacman.sprite,EmptySprite,9,3,0,0,4,1,4,1,4,1
jpacman-framework,nl.tudelft.jpacman.sprite,AnimatedSprite,39,136,9,9,5,38,9,11,1,10
jpacman-framework,nl.tudelft.jpacman.sprite,PacManSprites,18,129,1,3,2,23,1,11,0,10
jpacman-framework,nl.tudelft.jpacman.sprite,SpriteStore,8,99,2,8,0,22,2,8,0,5
jpacman-framework,nl.tudelft.jpacman.sprite,ImageSprite,0,122,4,8,0,17,4,9,0,7
jpacman-framework,nl.tudelft.jpacman,Launcher,73,143,5,1,19,34,10,18,7,18
jpacman-framework,nl.tudelft.jpacman,PacmanConfigurationException,9,0,0,0,4,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman.ui,ScorePanel,15,128,3,9,3,24,3,8,1,4
jpacman-framework,nl.tudelft.jpacman.ui,PacManUiBuilder,55,102,12,6,7,26,11,7,2,7
jpacman-framework,nl.tudelft.jpacman.ui,PacManUI,16,91,4,4,1,26,4,4,0,4
jpacman-framework,nl.tudelft.jpacman.ui,BoardPanel,8,141,2,8,0,30,2,8,0,5
jpacman-framework,nl.tudelft.jpacman.ui,PacKeyListener,26,10,5,1,7,5,6,2,3,2
jpacman-framework,nl.tudelft.jpacman.ui,ButtonPanel,17,37,2,4,3,10,3,3,1,2
jpacman-framework,nl.tudelft.jpacman.board,Square,22,85,7,9,1,22,7,9,0,8
jpacman-framework,nl.tudelft.jpacman.board,Direction,0,52,0,0,0,11,0,4,0,4
jpacman-framework,nl.tudelft.jpacman.board,Board,9,106,2,20,0,18,2,16,0,7
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory.Wall,0,11,0,0,0,5,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.board,Unit,21,99,6,16,0,29,6,15,0,10
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory.Ground,0,11,0,0,0,5,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory,0,105,0,8,0,19,0,9,0,5
jpacman-framework,nl.tudelft.jpacman.level,LevelFactory,8,63,1,4,1,15,1,7,0,4
jpacman-framework,nl.tudelft.jpacman.level,CollisionInteractionMap.InverseCollisionHandler,12,0,0,0,5,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman.level,CollisionInteractionMap,113,65,15,9,30,16,13,6,5,2
jpacman-framework,nl.tudelft.jpacman.level,MapParser,55,271,6,22,7,62,7,19,1,9
jpacman-framework,nl.tudelft.jpacman.level,PlayerFactory,0,19,0,0,0,5,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.level,Level,45,389,10,48,6,99,11,33,1,14
jpacman-framework,nl.tudelft.jpacman.level,Pellet,0,15,0,0,0,6,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.level,DefaultPlayerInteractionMap,39,0,0,0,12,0,5,0,5,0
jpacman-framework,nl.tudelft.jpacman.level,Level.NpcMoveTask,0,36,0,2,0,10,0,3,0,2
jpacman-framework,nl.tudelft.jpacman.level,PlayerCollisions,22,54,6,8,6,18,5,9,1,6
jpacman-framework,nl.tudelft.jpacman.level,Player,7,53,3,3,2,18,3,6,0,6
jpacman-framework,nl.tudelft.jpacman.level,LevelFactory.RandomGhost,8,0,0,0,3,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Inky,10,86,5,11,1,22,5,7,0,4
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Pinky,12,43,5,5,2,11,5,3,0,3
jpacman-framework,nl.tudelft.jpacman.npc.ghost,GhostFactory,0,38,0,0,0,7,0,5,0,5
jpacman-framework,nl.tudelft.jpacman.npc.ghost,GhostColor,0,27,0,0,0,5,0,1,0,1
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Navigation.Node,3,36,0,2,1,12,1,5,1,4
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Blinky,6,48,3,7,1,12,3,5,0,3
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Clyde,12,79,5,7,2,19,5,4,0,3
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Navigation,37,194,8,30,6,43,6,19,1,5
